Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,101
Base Time Seconds,1776473518
Base Time Fractional,.471478780
Base Time,04/18/2026 00:51:58.471478780
Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Relative Time
5.941215931671e-06,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000286400609,Amp DC,1,T,4W,F,F,0.000000000
-0.0007074667955749,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0006337114028,Amp DC,1,T,4W,F,F,0.071462920
-0.001546245417558,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0196773242205,Amp DC,1,T,4W,F,F,0.142914920
-0.002322125714272,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0298086274415,Amp DC,1,T,4W,F,F,0.214373280
-0.003095073392615,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0398489013314,Amp DC,1,T,4W,F,F,0.285848740
-0.003869672538713,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0498674735427,Amp DC,1,T,4W,F,F,0.357307120
-0.004645311273634,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0598993524909,Amp DC,1,T,4W,F,F,0.428793620
-0.005417973734438,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0698969066143,Amp DC,1,T,4W,F,F,0.500284600
-0.006193200591952,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0799197033048,Amp DC,1,T,4W,F,F,0.571775340
-0.006966600194573,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0899200215936,Amp DC,1,T,4W,F,F,0.643234140
-0.007741141598672,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0999210849404,Amp DC,1,T,4W,F,F,0.714705680
-0.008516034111381,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.1099311858416,Amp DC,1,T,4W,F,F,0.786167060
-0.009289073757827,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.1199260279536,Amp DC,1,T,4W,F,F,0.857646280
-0.0100627457723,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.1299214661121,Amp DC,1,T,4W,F,F,0.929122460
-0.01083768717945,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.1399428695440,Amp DC,1,T,4W,F,F,1.000594460
-0.01161065977067,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.1499277800322,Amp DC,1,T,4W,F,F,1.072065340
