Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,101
Base Time Seconds,1776473225
Base Time Fractional,.466572440
Base Time,04/18/2026 00:47:05.466572440
Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Relative Time
6.139543984318e-06,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000104373757,Amp DC,1,T,4W,F,F,0.000000000
-0.0007643318385817,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0044748643413,Amp DC,1,T,4W,F,F,0.071525620
-0.001544425264001,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0194914471358,Amp DC,1,T,4W,F,F,0.142982080
-0.002318996936083,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0296404529363,Amp DC,1,T,4W,F,F,0.214460340
-0.003091146470979,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0396892987192,Amp DC,1,T,4W,F,F,0.285936140
-0.003864310448989,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0497150905430,Amp DC,1,T,4W,F,F,0.357423040
-0.00463875150308,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0597499273717,Amp DC,1,T,4W,F,F,0.428896420
-0.005410604178905,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0697469934821,Amp DC,1,T,4W,F,F,0.500379620
-0.006184691097587,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0797664523125,Amp DC,1,T,4W,F,F,0.571862200
-0.006956825498492,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0897690728307,Amp DC,1,T,4W,F,F,0.643325040
-0.007730030454695,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0997661352158,Amp DC,1,T,4W,F,F,0.714797020
-0.00850488524884,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.1097876876593,Amp DC,1,T,4W,F,F,0.786261060
-0.009276697412133,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.1197770759463,Amp DC,1,T,4W,F,F,0.857754880
-0.01004990469664,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.1297699660063,Amp DC,1,T,4W,F,F,0.929237940
-0.01082399953157,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.1397900432348,Amp DC,1,T,4W,F,F,1.000709860
-0.01159595884383,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.1497779190540,Amp DC,1,T,4W,F,F,1.072170720
-0.01237168069929,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.1598050445318,Amp DC,1,T,4W,F,F,1.143638720
-0.01314410101622,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.1698035001755,Amp DC,1,T,4W,F,F,1.215110120
-0.01391678396612,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.1797964125872,Amp DC,1,T,4W,F,F,1.286601460
-0.01469087414443,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.1898075193167,Amp DC,1,T,4W,F,F,1.358099700
-0.0154633494094,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.1998101323843,Amp DC,1,T,4W,F,F,1.429577440
-0.01623646728694,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.2098071873188,Amp DC,1,T,4W,F,F,1.501065700
-0.01700993068516,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.2198175787926,Amp DC,1,T,4W,F,F,1.572531700
-0.01778279431164,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.2298144698143,Amp DC,1,T,4W,F,F,1.644000460
-0.01855557598174,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.2398024499416,Amp DC,1,T,4W,F,F,1.715468120
-0.01932948455215,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.2498185038567,Amp DC,1,T,4W,F,F,1.786945600
-0.02010225877166,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.2598099410534,Amp DC,1,T,4W,F,F,1.858426600
-0.02088012360036,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.2700063586235,Amp DC,1,T,4W,F,F,2.077791020
-0.02165283635259,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.2799999713898,Amp DC,1,T,4W,F,F,2.149283660
-0.02242567948997,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.2899970114231,Amp DC,1,T,4W,F,F,2.220746520
-0.0231983885169,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.2999989390373,Amp DC,1,T,4W,F,F,2.292204220
-0.02397219650447,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.3099973499775,Amp DC,1,T,4W,F,F,2.363689320
-0.02474600635469,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.3199937045574,Amp DC,1,T,4W,F,F,2.435170680
